,학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,"학교대표
번호","학교대표
팩스번호",재학생_전체_계,재학생_전체_남,재학생_전체_여,보유면적,시,구,동,지번주소
0,대학,19,서울대학교,본교,대학교,서울,국립대법인,고등교육법,서울대학교 법인,기존,首尔大学,Seoul National University,"서울특별시 관악구 관악로 1 (신림동, 서울대학교) ","1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea","1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea",8826.0,1946-08-22,www.snu.ac.kr,오세정,02-880-5114,02-885-5272,15816,9492,6324,4108394.0,서울특별시,관악구,신림동,서울특별시 관악구 신림동
1,대학,32,한국체육대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,韩国体育大学,Korea National Sport University,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) ","1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea","1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea",5541.0,1976-12-30,www.knsu.ac.kr/,안용규,02-410-6700,02-418-1877,2410,1544,866,111902.0,서울특별시,송파구,방이동,서울특별시 송파구 방이동
2,대학,36,서울과학기술대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,首尔科学技术大学,Seoul National University Of Science And Technology,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) ","232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea","232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea",1811.0,2012-03-01,www.seoultech.ac.kr,이동훈,02-970-6114,02-970-6088,10115,6129,3986,504922.0,서울특별시,노원구,공릉동,서울특별시 노원구 공릉동
3,대학,40,서울시립대학교,본교,대학교,서울,공립,고등교육법,해당없음,기존,首尔市立大学校,University Of Seoul,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) ","163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea","163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2504.0,1918-05-01,www.uos.ac.kr,서순탁,02-6490-6114,02-6490-6439,8697,5102,3595,434004.0,서울특별시,동대문구,전농동,서울특별시 동대문구 전농동
4,대학,48,가톨릭대학교,제2캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정) ","222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea","222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea",6591.0,1995-03-01,www.catholic.ac.kr,원종철,02-2258-7114,02-533-4362,903,447,456,86673.0,서울특별시,서초구,반포동,서울특별시 서초구 반포동
5,대학,49,가톨릭대학교,제3캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정) ","296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea","296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea",3083.0,1995-03-01,www.catholic.ac.kr,원종철,02-740-9705,02-741-2801,200,145,55,51318.0,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동
6,대학,50,감리교신학대학교,본교,대학교,서울,사립,고등교육법,감리교신학원,기존,监理教神学大学,Methodist Theological University,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) ","56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea","56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea",3745.0,1887-09-29,www.mtu.ac.kr,이후정,02-361-9257,02-361-9006,604,388,216,24479.0,서울특별시,서대문구,냉천동,서울특별시 서대문구 냉천동
7,대학,52,건국대학교,본교,대학교,서울,사립,고등교육법,건국대학교,기존,建国大学,Konkuk University,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ","120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea","120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea",5029.0,1931-05-15,www.konkuk.ac.kr,전영재,02-450-3114,02-450-3179,15688,8434,7254,455943.0,서울특별시,광진구,화양동,서울특별시 광진구 화양동
8,대학,58,경기대학교,제2캠퍼스,대학교,서울,사립,고등교육법,경기학원,기존,京畿大学校,Kyonggi University,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ","24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea","24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea",3746.0,1947-11-08,www.kyonggi.ac.kr,김인규,031-249-8711,031-249-8718,2103,623,1480,19157.0,서울특별시,서대문구,충정로2가,서울특별시 서대문구 충정로2가
9,대학,66,경희대학교,본교,대학교,서울,사립,고등교육법,경희학원,기존,庆熙大学校,Kyung Hee University,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) ","26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea","26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2447.0,1951-05-18,www.khu.ac.kr,한균태,02-961-0114,02-961-0930,14567,5978,8589,351547.0,서울특별시,동대문구,회기동,서울특별시 동대문구 회기동
